class,P,R
microALL,0.9999161167654624,0.001960009344411609
microALL,0.9966027290012303,0.0039014292528585445
microALL,0.9953677813816504,0.00583983872950342
microALL,0.9947013756850465,0.007777819246059175
microALL,0.9942903478358118,0.00971673258640402
microALL,0.9939604071132985,0.011654918357900073
microALL,0.9936967740904644,0.013591783247767485
microALL,0.9934780785147075,0.015528780553929297
microALL,0.9933235158881097,0.017464927263971437
microALL,0.9932306229728254,0.019403060581351803
microALL,0.9931063232707328,0.02133644946556573
microALL,0.993037691533385,0.02327248342089533
microALL,0.9929882219335316,0.02521037444834196
microALL,0.9929298416604101,0.02714773791782029
microALL,0.9928736532080671,0.02908393748167471
microALL,0.9928314785818141,0.031020410104658676
microALL,0.9928123581386422,0.03295852501730326
microALL,0.9928077893350278,0.03489545904331589
microALL,0.9927919283725507,0.03683244540911021
microALL,0.9927552846437769,0.03876791377237241
microALL,0.9926994956354119,0.04070252889699384
microALL,0.9926602169779642,0.04263802879105801
microALL,0.9925939613796736,0.04457141487166951
microALL,0.9925728386086567,0.046507609533510505
microALL,0.992542221228045,0.048442299130493166
microALL,0.9925354675522491,0.050378996986421266
microALL,0.9925033242615212,0.052313678178898
microALL,0.9924964449486333,0.054249763257568355
microALL,0.9924697923938149,0.05618451644884915
microALL,0.9924178876337505,0.058116820895557926
microALL,0.9923702335381398,0.060049211651629186
microALL,0.9923508975506096,0.06198362331062447
microALL,0.9922903681711343,0.0639151909735002
microALL,0.9922662947294969,0.06584933604343664
microALL,0.9922435969131016,0.0677840208713569
microALL,0.9922213833898776,0.06971895835380722
microALL,0.9921814779772538,0.07165063951807006
microALL,0.9921613324778262,0.07358468521011698
microALL,0.9921336166722625,0.07551851943946253
microALL,0.9920912090370149,0.0774243866931679
microALL,0.9920495061118721,0.07933153310302314
microALL,0.9919924798014548,0.08123633220007932
microALL,0.9919511110301854,0.08314174097709978
microALL,0.9919173419690652,0.08504816003941199
microALL,0.9918962581863876,0.08695617073402709
microALL,0.9918110511906546,0.08883267711861187
microALL,0.9916866360324338,0.09065312480136542
microALL,0.9915720650188258,0.09247535666188098
microALL,0.9914484751511572,0.09429443635899235
microALL,0.9913454870819762,0.09611542774811785
microALL,0.9912509238120882,0.09793737850482312
microALL,0.9910997737303535,0.09970305342181349
microALL,0.9909590755328976,0.10146880436416747
microALL,0.990820999391074,0.10323378410197273
microALL,0.9906686256367467,0.10499847751114262
microALL,0.9905391694760843,0.10676414351366703
microALL,0.9904201421796354,0.10852971752476293
microALL,0.9902815969825117,0.11029025601564596
microALL,0.9901197871545867,0.11202708153969942
microALL,0.9899237594601655,0.11372990630600902
microALL,0.9897396594432293,0.1154365134842719
microALL,0.9895777336012845,0.11714391001032068
microALL,0.9894205044356087,0.11885127781766461
microALL,0.9892555188178056,0.12055756504590534
microALL,0.9890706597954219,0.12223690001587184
microALL,0.9888816585494713,0.12390946358514107
microALL,0.9886907872003267,0.1255612304652704
microALL,0.98844837398106,0.12717611784934432
microALL,0.9882267651544919,0.1287925676911718
microALL,0.9880234713279207,0.13041683303370752
microALL,0.9878227535439738,0.13203784906153215
microALL,0.9876097472318474,0.13365587129983858
microALL,0.9874313038442379,0.13528128986531676
microALL,0.9872112074047064,0.13687145416146282
microALL,0.9870055549341906,0.13846700730924422
microALL,0.9867942771031163,0.14004462012683255
microALL,0.9865903026623343,0.14162287587277736
microALL,0.9863822379760235,0.14319924449400168
microALL,0.9861698844322531,0.14477526430635773
microALL,0.9859589950788454,0.1463326686664213
microALL,0.9857360529451686,0.14788056852085318
microALL,0.9855165024919402,0.14942732210229892
microALL,0.9853066218570801,0.1509753265210959
microALL,0.9851073971698082,0.15252236947262057
microALL,0.9848671355355533,0.15404189406367616
microALL,0.9846500183372626,0.15556220465589277
microALL,0.9844243938873758,0.15707993746930876
microALL,0.9842077101402074,0.1585985614655747
microALL,0.9839880414552816,0.16011536630591883
microALL,0.9837788465123315,0.16163409477121235
microALL,0.9835856180504502,0.1631547394736941
microALL,0.983370756602466,0.16467054027475858
microALL,0.9831788558927949,0.16618892096157062
microALL,0.9830005568418898,0.16770932661279575
microALL,0.9828213022210007,0.16922976006642004
microALL,0.9826251025239526,0.17074974821940803
microALL,0.9824525497620726,0.17226745287995035
microALL,0.9822869422906257,0.1737872751383209
microALL,0.982119879027376,0.1753055109235753
microALL,0.9819393803825103,0.17682315683488406
microALL,0.9817823886180156,0.17834295935068115
microALL,0.9816120274303624,0.17986193240198461
microALL,0.981468591836672,0.1813839591407784
microALL,0.9812983404024554,0.1828795154627967
microALL,0.9811305329647886,0.18437507105640918
microALL,0.9809898960269904,0.18589523399735056
microALL,0.9808249720127917,0.18738698210199797
