class,P,R
microALL,1,0.001960155463594352
microALL,0.9964908846885135,0.0038956546989830664
microALL,0.9952745777877201,0.005831083628111868
microALL,0.994715356224136,0.007766641298454095
microALL,0.9942400178950884,0.009699031240819028
microALL,0.9939697274726914,0.011632515167665525
microALL,0.9937526962468229,0.013564960259939635
microALL,0.9936842914662789,0.01549967015143241
microALL,0.9935472045135425,0.017431847602664953
microALL,0.9934347388435307,0.019363551447549143
microALL,0.9933274699799671,0.021294780811654198
microALL,0.9932893412369977,0.023229318885808623
microALL,0.993194703741622,0.025160957666084355
microALL,0.9930736414910446,0.027089340881615628
microALL,0.9929780412332692,0.02901922002578413
microALL,0.992927594788055,0.030949338658441905
microALL,0.9928666355256979,0.032878473002053134
microALL,0.9928357504132047,0.034809915918500696
microALL,0.9927772120156131,0.03673905357686477
microALL,0.9927510904820505,0.03867163720556193
microALL,0.992728788193503,0.040603332253349285
microALL,0.992698345720937,0.04253279144953847
microALL,0.9926705504199027,0.04446421453580153
microALL,0.9926474014838006,0.04639478871024914
microALL,0.9926294597919666,0.048325070572037054
microALL,0.9925763337434306,0.05025272327363597
microALL,0.9925519972494604,0.05218444111132706
microALL,0.9925224088069418,0.05411366264894905
microALL,0.9924996818222142,0.05604212447617618
microALL,0.9924821981135612,0.05797108671697914
microALL,0.99244780298083,0.059900484405007955
microALL,0.9924295380829885,0.061829381010309846
microALL,0.9923979759568567,0.06375708856074712
microALL,0.9923658032724305,0.06568470189252362
microALL,0.9923314745873769,0.06761118543254614
microALL,0.992312256893961,0.06954125672205966
microALL,0.9922774524888404,0.07146627729837958
microALL,0.9922488948015968,0.07339354415175807
microALL,0.9921802184692259,0.07529101908190194
microALL,0.9921233642769268,0.07718849311340638
microALL,0.9920767852125417,0.07908713385338383
microALL,0.9920390815984176,0.08098767829556965
microALL,0.9920135357628659,0.08288898247340679
microALL,0.9919840672692689,0.08479045107659595
microALL,0.9919434813406424,0.08668936533609901
microALL,0.9918815617356271,0.0885608283902815
microALL,0.9917693294338551,0.09037696851193651
microALL,0.9916582783432119,0.09219389922941609
microALL,0.9915643139036145,0.09401192443600805
microALL,0.9914584498378197,0.09582818934845282
microALL,0.9913539960218487,0.09764484235333484
microALL,0.991209467190902,0.09940596401966341
microALL,0.9910635339004326,0.10116686946585574
microALL,0.9909276657263472,0.10292717230045118
microALL,0.9907931795304556,0.10468716849222076
microALL,0.990669488072603,0.10644713936082564
microALL,0.9905383635803555,0.10820712471774176
microALL,0.9904079039218713,0.1099667300170025
microALL,0.9902633838781153,0.11170016210110553
microALL,0.9900905938932992,0.11340342066657959
microALL,0.9899243859105482,0.11510632433378981
microALL,0.9897648924310293,0.11680935013213795
microALL,0.9896180072894101,0.11851278559254717
microALL,0.9894455667710547,0.1201868881756059
microALL,0.9892500408661987,0.12185414397933184
microALL,0.9890790807075261,0.12352943350330275
microALL,0.9888994519628652,0.1251916983607143
microALL,0.9886642499522991,0.12680228985070519
microALL,0.9884419438865699,0.12841506553751084
microALL,0.9882191988751722,0.1300220270671864
microALL,0.9880295079952981,0.13163935668013607
microALL,0.9878458630031417,0.13325852333466667
microALL,0.987656524583541,0.13487220322549626
microALL,0.9874564336173836,0.13646876955488302
microALL,0.9872441561346533,0.13804920617539668
microALL,0.9870356253568711,0.1396263895355022
microALL,0.9868492149836525,0.1412097192801876
microALL,0.9866568301027536,0.14278742012529183
microALL,0.98645834365651,0.14436240988216317
microALL,0.9862410524549787,0.1459101988118673
microALL,0.9860415536141633,0.14746363579581667
microALL,0.9858319170933542,0.1490071075268973
microALL,0.9856239632503877,0.15054986903006545
microALL,0.9854143032898206,0.15208334201418297
microALL,0.9852095765047875,0.15362077291412835
microALL,0.985006034390825,0.15515051109546824
microALL,0.9848094211478243,0.15668198059410945
microALL,0.9846061555042639,0.15820364075504784
microALL,0.9844077717973864,0.1597259542872636
microALL,0.9842156606892151,0.1612515099891349
microALL,0.9840259282156195,0.1627728134327313
microALL,0.9838345457905218,0.1642949186265577
microALL,0.983653893565091,0.16582015985849785
microALL,0.9834773824623299,0.16734332269882868
microALL,0.9833010554571214,0.16886494893399395
microALL,0.9831289844536416,0.17038585848873264
microALL,0.9829619025985952,0.171905581445644
microALL,0.9827785436957526,0.17341252926232606
microALL,0.9826073620671487,0.17492930510591204
microALL,0.9824468739514646,0.1764494570122349
microALL,0.9822881796064679,0.1779681587212763
microALL,0.9821336934281577,0.17948644460134242
microALL,0.9819849216492635,0.18100859497559088
microALL,0.9818403551487012,0.18253003091438613
microALL,0.9816982759998124,0.18404873528538182
microALL,0.9815295975926043,0.18554141474092203
microALL,0.9813180799989986,0.18699515033773131
microALL,0.981151385419647,0.1884818626733895
microALL,0.9809690232297626,0.18995018448699721
microALL,0.9807861638417481,0.1914147426403766
microALL,0.980611133446396,0.19287973188779592
microALL,0.9804297417994197,0.19434138516203564
microALL,0.9802520555104215,0.19580244870215474
microALL,0.9800610532594883,0.19724559147856402
microALL,0.9798811532607541,0.19869623003953404
microALL,0.9796650648504139,0.2001088503836133
microALL,0.9794227973123051,0.20149050449487987
microALL,0.9791815555458658,0.20287135708330423
microALL,0.9789457780651688,0.20425126319641557
microALL,0.9787011147149836,0.20562267891404049
microALL,0.978470663051915,0.2070023106648291
microALL,0.9782435309066095,0.20838000252453837
microALL,0.9780239565061922,0.20976089344901847
microALL,0.9778000313885619,0.21113705696477286
microALL,0.9775879655519437,0.21251669768570347
microALL,0.9773812630596065,0.21389387710173188
microALL,0.977156239459555,0.21525212888580972
microALL,0.9769386638798793,0.21662316247537014
microALL,0.9767105894021736,0.21797393222209047
microALL,0.9764903254669575,0.21932751950043183
microALL,0.9762723571231574,0.22068011241763424
microALL,0.9760629869887693,0.22203363379729535
microALL,0.9758529810714025,0.223386359644282
microALL,0.9756388063039995,0.224733921647602
microALL,0.9754253190669694,0.2260817614306136
microALL,0.9752184664829033,0.22743068730647958
microALL,0.9750132049763293,0.22877973698162324
microALL,0.9748113235072317,0.23012852682095794
microALL,0.9746121456486483,0.23147738907296397
microALL,0.9744182098518832,0.2328271706085737
microALL,0.9742246452512531,0.2341760266847695
microALL,0.9740334130946113,0.23552402428260572
microALL,0.9738423135973787,0.2368720578931474
microALL,0.9736575575687386,0.23822122039138657
microALL,0.9734736143839622,0.23957039231440835
microALL,0.9732921909688027,0.24091922771942242
microALL,0.9731115239966822,0.24226749146771184
microALL,0.9729298977984763,0.24361427018144485
microALL,0.9727544627006754,0.24496199378398603
microALL,0.9725584386533831,0.24628439802665614
microALL,0.9723626037059694,0.24760587106016374
microALL,0.9721373374578218,0.24889867724569434
microALL,0.9719113608236584,0.25018872413019544
microALL,0.9716914055634501,0.2514804944489919
microALL,0.9714732060713309,0.25277132155971005
microALL,0.9712579832462935,0.2540627580082514
microALL,0.9710403373281435,0.2553530052093639
microALL,0.9708358875837214,0.256646652794526
microALL,0.9706185342204695,0.2579341621921842
microALL,0.9704229462588158,0.2592302501412686
microALL,0.9702280512483261,0.2605260879008162
microALL,0.9700378061392908,0.26182182765604955
microALL,0.9698498953260717,0.2631178816696657
microALL,0.9696608662205733,0.2644124581418871
microALL,0.9694732810715206,0.2657061654093864
microALL,0.9692909879086882,0.2670003889288617
microALL,0.9690867677462367,0.26827185484280136
