class,P@N,R@N,F1@N,mAP,NDCG
microALL,0.8274722346493343,0.9962611836334119,0.8643483325311513,0.9900794240113788,0.9779099689360332
02691156,1,1,1,1,0.9545471122900449
04530566,1,1,1,1,0.9818028481496729
02843684,0.05100000000000002,1,0.09705042816365363,1,1
02828884,0.9968571428571592,0.9968571428571592,0.9968571428571592,0.9984880855073153,0.9885919015052704
04379243,0.9982190265486645,0.9982190265486645,0.9982190265486645,0.9984360156847967,0.9715154782290103
04554684,0.11599999999999978,1,0.20788530465949853,1,1
03636649,0.9999851851851854,0.9999851851851854,0.9999851851851854,0.9999994176814648,0.99647675129297
02924116,0.6279251592356593,0.99988082680839,0.7714068295278578,0.9929787825125413,0.9959968212322267
03325088,0.5190000000000038,1,0.6833443054641183,1,0.9951301187189407
02747177,0.22699999999999895,1,0.37000814995924847,0.9974076388700972,0.9990068093836497
03624134,0.2960000000000014,1,0.45679012345678743,1,0.990566161602114
03691459,0.9976810035842492,0.9976810035842492,0.9976810035842492,0.9986744264006918,0.9694633773481429
02818832,0.16646107784431197,0.9967729212234214,0.2852803390648007,0.9945784707562952,0.9863049806205361
03001627,0.9951797484821929,0.9951797484821929,0.9951797484821929,0.9986291683726759,0.9872001409508886
02876657,0.3400000000000024,1,0.5074626865671619,0.9933889426573866,0.9768916205454823
04401088,0.3195634674922586,0.9893605804713937,0.4830891420895852,0.6534195866872959,0.9118169934349498
02933112,0.9706217472119082,0.9706217472119082,0.9706217472119082,0.9727521214897343,0.9960970501581864
04256520,0.9884026387625174,0.9884026387625174,0.9884026387625174,0.9913820717293275,0.9825109319370648
03211117,0.7602230971128545,0.997668106447324,0.8629093043278873,0.9951247504836969,0.956732815229959
03790512,0.23499999999999954,1,0.38056680161943357,1,0.9962818158522003
03991062,0.41455714285714446,0.9870408163265262,0.5838832997987922,0.9648691288504841,0.9791951535702778
02871439,0.3073741935483884,0.9915296566077003,0.4692735779364662,0.9824984201494924,0.9919902011380545
02958343,0.9981342925659472,0.9981342925659472,0.9981342925659472,0.9977279703366808,0.948517681329452
04090263,0.9981341389728097,0.9981341389728097,0.9981341389728097,0.9978531537215138,0.9847729983632357
03593526,0.3787684210526296,0.9967590027700831,0.5489397406559855,0.9807328400707033,0.9902533311960628
03928116,0.1670000000000006,1,0.2862039417309337,0.9962940072132053,0.98460696024114
03642806,0.31900000000000167,1,0.483699772554966,0.9999112257096852,0.9999137651169494
02992529,0.40399999999999847,1,0.575498575498579,0.7887504048968627,0.9427094071997804
02773838,0.057999999999999954,1,0.10964083175803396,1,1
04460130,0.08399999999999985,1,0.15498154981549792,0.9969081917496029,0.9938839263911458
03761084,0.10699999999999989,0.9999999999999999,0.1933152664859983,0.9986578492908823,0.9993800800844042
03046257,0.453030769230773,0.9956720202874051,0.6227227068464217,0.9957532052762018,0.9847549728228162
03467517,0.5569999999999985,1,0.715478484264618,1,0.9964776701284843
03207941,0.06499999999999999,1,0.12206572769953074,0.9866334900481799,0.993904498245867
03337140,0.19901442307692357,0.9568001109467492,0.32949407794192453,0.9168737324409109,0.9609362119096152
02808440,0.5989999999999938,1,0.7492182614133784,0.9999878096620948,0.9999974059389342
04225987,0.1059999999999999,1,0.1916817359855332,1,1
03948459,0.18499999999999964,1,0.31223628691983224,0.9738997519181682,0.9942452734541868
03261776,0.05100000000000002,1,0.09705042816365363,1,1
04004475,0.11500000000000019,1,0.20627802690582914,1,0.9948142530917049
02880940,0.125,1,0.22222222222222168,0.994241002279412,0.9976674388263691
03797390,0.14899999999999994,1,0.2593559617058312,0.9946635752340923,0.963752321729796
02954340,0.03899999999999998,1,0.07507218479307022,0.9838675266006118,0.9908231001208091
03513137,0.11299999999999996,1,0.20305480682839158,0.9946593096449081,0.9990122278804503
04468005,0.27083088235294095,0.9957017733564015,0.42583472068072437,0.9889507020060191,0.9837214965806124
03085013,0.04499999999999998,1,0.0861244019138755,1,1
03938244,0.06700000000000007,1,0.12558575445173398,1,1
04330267,0.15200000000000008,1,0.2638888888888885,0.996867123818939,0.9989114866200369
03759954,0.04600000000000001,1,0.08795411089866163,1,1
04074963,0.04600000000000001,1,0.08795411089866163,0.9993102074918472,0.9998516801551144
02942699,0.07899999999999995,1,0.14643188137164034,0.9921374082210386,0.9922273573525268
03710193,0.06499999999999999,1,0.12206572769953074,0.9856028752852695,0.9923208480457771
02801938,0.07466233766233761,0.9696407488615288,0.13864872360694103,0.9006089160165666,0.9431381639106512
04099429,0.059000000000000045,1,0.1114258734655334,1,0.9944574327411226
02946921,0.07300000000000006,1,0.13606710158434315,0.9959404155194232,0.9730131690687183
macroALL,0.3740841071933974,0.996728027059592,0.4598610382264854,0.9816265404052019,0.985566986213371
