class,P@N,R@N,F1@N,mAP,NDCG
microALL,0.8296590985348278,0.9984731339341396,0.8665660445996258,0.9908663793719447,0.9804581663876862
02691156,1,1,1,1,0.95997245659173
04530566,0.999609882005907,0.999609882005907,0.999609882005907,0.9999475749970737,0.9810499335243926
02843684,0.05100000000000002,1,0.09705042816365363,1,1
02828884,0.9996888888888914,0.9996888888888914,0.9996888888888914,0.9999236489509841,0.9913950505581554
04379243,0.9995966643975399,0.9995966643975399,0.9995966643975399,0.9994831100667515,0.9818125333290751
04554684,0.11599999999999978,1,0.20788530465949853,0.9989109412666584,0.9995986270135524
03636649,0.9999277777777789,0.9999277777777789,0.9999277777777789,0.9999709074365125,0.9929345852400918
02924116,0.6279999999999906,1,0.7714987714987805,0.9991645092866702,0.9980939946455988
03325088,0.5190000000000038,1,0.6833443054641183,1,0.9883899278985296
02747177,0.22699999999999895,1,0.37000814995924847,0.9952013984831466,0.9983592130653908
03624134,0.2960000000000014,1,0.45679012345678743,1,0.9827869275853359
03691459,0.995975806451626,0.995975806451626,0.995975806451626,0.9976751742312777,0.9630069148391182
02818832,0.1634071856287431,0.9784861414894762,0.2800465906233802,0.9705969104695722,0.9666544165715827
03001627,0.9995689505637324,0.9995689505637324,0.9995689505637324,0.9998987022866413,0.991180219563655
02876657,0.3400000000000024,1,0.5074626865671619,0.9971451680706557,0.9780346562818619
04401088,0.3215882352941157,0.9956292114368973,0.4861500155617811,0.6089415957519405,0.8978135276713528
02933112,0.9858197026022306,0.9858197026022306,0.9858197026022306,0.9896755378037633,0.9922722421446566
04256520,0.9985200181983679,0.9985200181983679,0.9985200181983679,0.9988666349030838,0.9849562552090181
03211117,0.7612939632545869,0.9990734425913297,0.8641248164070383,0.9987379604451889,0.9672525894001109
03790512,0.23499999999999954,1,0.38056680161943357,1,0.996317073515032
03991062,0.41735714285714387,0.993707482993192,0.58782696177063,0.9696084369236104,0.9739343243484891
02871439,0.30719354838709806,0.9909469302809572,0.4689977837970917,0.9853873142158895,0.9935912334652213
02958343,0.9999976019184651,0.9999976019184651,0.9999976019184651,0.9999997825396987,0.9552094608917308
04090263,0.9997069486404835,0.9997069486404835,0.9997069486404835,0.9993742612762415,0.9852366323192234
03593526,0.37920526315789277,0.9979085872576178,0.5495728451563668,0.9858859984630031,0.9909387610571916
03928116,0.1661616766467072,0.9949800996808777,0.2847672264725046,0.9946326429044844,0.9894397237240243
03642806,0.31900000000000167,1,0.483699772554966,1,1
02992529,0.40399999999999847,1,0.575498575498579,0.7371588370634626,0.9312861397623498
02773838,0.057999999999999954,1,0.10964083175803396,1,1
04460130,0.08204761904761891,0.9767573696145124,0.15137937093656628,0.9604491430169122,0.9787767325722293
03761084,0.10601869158878495,0.9908288933531312,0.19154235156058735,0.9834668295507738,0.9928157869742469
03046257,0.45188571428571805,0.9931554160125589,0.6211487481590608,0.9922162063174984,0.980976566429891
03467517,0.5569999999999985,1,0.715478484264618,1,0.9989801665173338
03207941,0.06499999999999999,1,0.12206572769953074,0.99522385565586,0.9980344966419478
03337140,0.2060528846153837,0.9906388683431953,0.34114715995924555,0.9603216909303351,0.9747159049454454
02808440,0.5989999999999938,1,0.7492182614133784,0.9999647670427568,0.999979137013244
04225987,0.1059999999999999,1,0.1916817359855332,1,1
03948459,0.18499999999999964,1,0.31223628691983224,0.986924244131185,0.9979485031868573
03261776,0.05100000000000002,1,0.09705042816365363,1,1
04004475,0.11500000000000019,1,0.20627802690582914,1,0.992303006135944
02880940,0.125,1,0.22222222222222168,0.9874354119722834,0.9952099548743469
03797390,0.14899999999999994,1,0.2593559617058312,1,0.9748390418472412
02954340,0.03723076923076925,0.9546351084812618,0.07166654327385802,0.9777931542713527,0.9769543802056014
03513137,0.11299999999999996,1,0.20305480682839158,0.9928424186585602,0.9968055735996775
04468005,0.2719999999999998,1,0.427672955974842,0.9999491968625073,0.9866360179681775
03085013,0.04499999999999998,1,0.0861244019138755,1,1
03938244,0.06700000000000007,1,0.12558575445173398,0.9904022456929645,0.9955388599306826
04330267,0.15108552631578956,0.9939837257617729,0.2623012609649119,0.9814688033815876,0.9922052613381543
03759954,0.04539130434782611,0.9867674858223062,0.08679025687920865,0.980292841043,0.9878471641592295
04074963,0.04600000000000001,1,0.08795411089866163,0.9686026091009907,0.9877729204317665
02942699,0.07899999999999995,1,0.14643188137164034,0.9940381187325051,0.9884453742662043
03710193,0.06407692307692306,0.9857988165680475,0.1203322499097149,0.9873317551752199,0.9918359240701622
02801938,0.07628571428571426,0.9907235621521338,0.14166335057699975,0.8582622052964983,0.9173284847767464
04099429,0.059000000000000045,1,0.1114258734655334,1,0.986630587148997
02946921,0.07300000000000006,1,0.13606710158434315,0.9978950743052025,0.9800657027702433
macroALL,0.37479444369937864,0.9962260615142597,0.46056762811679414,0.978564865799533,0.9837120539640152
